1,2004020009,D-0001,2,10000
1,2004020009,F-0005,5,5000
1,2004020009,F-0019,5,10000
1,2004020009,F-0021,2,3000
2,2004020009,D-0023,1,10000
2,2004020009,F-0006,1,1500
2,2004020009,D-0026,3,9000
3,2004020009,D-0008,2,10000
3,2004020009,V-0007,5,120000
3,2004020009,D-0019,2,20000
3,2004020009,F-0022,5,10000
3,2004020009,D-0034,2,24000
4,2004020009,D-0016,2,4000
4,2004020009,G-0001,1,22000
4,2004020009,G-0021,5,75000
5,2004020020,F-0014,2,4000
5,2004020020,G-0012,3,7500
5,2004020020,F-0029,2,6000
6,2004020020,F-0005,2,2000
6,2004020020,G-0036,3,39000
6,2004020020,F-0008,4,48000
7,2004020020,F-0021,4,6000
7,2004020020,G-0030,4,52000
7,2004020020,G-0005,5,75000
7,2004020020,F-0019,4,8000
8,2004020016,F-0011,1,10000
8,2004020016,F-0010,1,10000
8,2004020016,D-0033,4,48000
9,2004020016,D-0009,4,20000
9,2004020016,D-0039,5,40000
9,2004020016,G-0016,1,10000
10,2004020016,F-0013,2,5000
10,2004020016,V-0003,2,210000
11,2004020016,G-0024,3,12000
11,2004020016,D-0030,5,625000
11,2004020016,G-0006,2,28000
12,2004020016,D-0011,3,9000
12,2004020016,D-0006,4,28000
12,2004020016,G-0010,3,39000
13,2004020010,V-0005,5,2625000
13,2004020010,G-0032,1,10000
13,2004020010,G-0022,4,20000
13,2004020010,F-0025,1,2000
14,2004020010,F-0012,2,3000
14,2004020010,G-0013,4,10000
14,2004020010,F-0017,5,25000
15,2004020010,V-0006,5,60000
15,2004020010,G-0003,3,45000
15,2004020010,V-0004,3,945000
16,2004020015,G-0003,3,45000
17,2004020015,G-0017,1,10000
17,2004020015,D-0001,1,5000
18,2004020015,F-0005,4,4000
18,2004020015,F-0019,5,10000
18,2004020015,F-0021,4,6000
18,2004020015,D-0023,5,50000
18,2004020015,F-0006,4,6000
19,2004020015,D-0026,3,9000
19,2004020015,D-0008,5,25000
20,2004020016,V-0007,4,96000
20,2004020016,D-0019,1,10000
20,2004020016,F-0022,3,6000
20,2004020016,D-0034,4,48000
21,2004020016,D-0016,5,10000
21,2004020016,G-0001,3,66000
21,2004020016,G-0021,1,15000
21,2004020016,F-0014,4,8000
22,2004020020,G-0012,2,5000
22,2004020020,F-0029,2,6000
23,2004020020,F-0005,5,5000
23,2004020020,G-0036,4,52000
23,2004020020,F-0008,1,12000
23,2004020020,F-0021,2,3000
24,2004020020,G-0030,3,39000
24,2004020020,G-0005,3,45000
24,2004020020,F-0019,3,6000
24,2004020020,F-0011,1,10000
25,2004020009,F-0010,3,30000
25,2004020009,D-0033,1,12000
25,2004020009,D-0009,3,15000
26,2004020009,D-0001,2,10000
26,2004020009,F-0005,5,5000
26,2004020009,F-0019,2,4000
26,2004020009,F-0021,2,3000
27,2004020009,D-0023,5,50000
27,2004020009,F-0006,4,6000
27,2004020009,D-0026,4,12000
28,2004020009,D-0008,1,5000
28,2004020009,V-0007,5,120000
28,2004020009,D-0019,3,30000
28,2004020009,F-0022,2,4000
28,2004020009,D-0034,1,12000
29,2004020009,D-0016,5,10000
29,2004020009,G-0001,3,66000
29,2004020009,G-0021,1,15000
30,2004020020,F-0014,2,4000
30,2004020020,G-0012,4,10000
30,2004020020,F-0029,5,15000
31,2004020020,F-0005,4,4000
31,2004020020,G-0036,3,39000
31,2004020020,F-0008,4,48000
32,2004020020,F-0021,4,6000
32,2004020020,G-0030,1,13000
32,2004020020,G-0005,3,45000
32,2004020020,F-0019,5,10000
33,2004020016,F-0011,5,50000
